plano	resourceId	url
c1p1	H6bZGknhN1hqu5ZuQFTM	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1784073619377_3a0cdc2f_1784073619976_259ea7c9.png
c1p2	u1FYLwjoAue7qqrerNF5	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1784073623257_45bf7891_1784073624521_6772c709.png
c2p1	gXByUvJXo89aB2RsWLpL	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1784073630359_f5658ca4_1784073630841_508de524.png
c2p2	MOYWQyFxSCVLjM7qnYvM	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1784073640541_ac194c05_1784073640921_3a51599d.png
c2p3	bXA762CLYctpFgOFNQMB	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1784073645487_b6c0d551_1784073645597_eb17ec10.png
c3p1	rGK1KBLK6inT6vYFY7kL	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1784073657841_d428ea3f_1784073658301_d02e425a.png
c3p2	Hqkis1UoAKLm0kkXm3nm	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1784074123812_e357f260_1784074124254_9e33b139.png
c4p1	gG2o5TxsYmmVYPD56qfk	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1784073738806_7ed0ca9e_1784073739329_0c964f11.png
c4p2	HycvFHNaVVvmrLYsjYbR	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1784073744360_a46e8b64_1784073744564_1d6b9a19.png
c4p3	Ec5ZfrG4xDMQp1XsBSc6	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1784074143513_b30f5546_1784074143739_4faf6062.png
c5p1	iY8ef0sNea1uWnTpRnpv	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1784073759669_d3b310ab_1784073760305_916efd01.png
c5p2	8883TCJQ6Y90I5ayasUG	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1784073763883_f5214405_1784073764551_9f2ea356.png
c5p3	DC81kTgS3X5tfokteauz	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1784073767903_1804616e_1784073769237_3ec71674.png
c6p1	5a95qI0LBFME36DLU1Bp	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1784073780717_bcda1d43_1784073781115_e26fbc59.png
c6p2	4VxUGcFSS191fU0NIFDv	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1784073846698_ec5ab63e_1784073847312_a28110ff.png
c6p3	GLFVAooAKPjhvOx6iqA7	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1784073852404_3a1b802f_1784073853029_88bbee17.png
c7p1	4wsKtEbIDkXS4XYrxnUc	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1784073862415_e57b249e_1784073862795_1eeb7521.png
c7p2	7dm5ZsKTn0S5TvzZgH2P	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1784073867416_8cf5a2bf_1784073868184_5980ec46.png
c7p3	XQ8h9EPLtEIBPNe0wQEv	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1784073873804_72cad918_1784073874429_1c88b1a3.png
c8p1	C77y07M9V9Q2gAB6ck5q	https://cdn.openart.ai/openart-ai/production/2026-07/create-image/U8LYT4b2errrkadcpdhh/image_1784073877143_82566342_1784073877722_570e2ec8.png
